notificationInternal,ConsoleNotificationInternalService_CreateMsgType,post,/console-internal/v1/notification/msg_type
notificationInternal,ConsoleNotificationInternalService_GetTemplate,get,/console-internal/v1/notification/template
notificationInternal,ConsoleNotificationInternalService_CreateTemplate,post,/console-internal/v1/notification/template
notificationInternal,ConsoleNotificationInternalService_UpdateMsgType,post,/console-internal/v1/notification/update_msg_type
notificationInternal,ConsoleNotificationInternalService_UpdateTemplate,post,/console-internal/v1/notification/update_template

ocr,OCRService_H5OCRIDCard,post,/v1/h5/ocr/idcard
ocr,OCRService_OCRBankcard,post,/v1/ocr/bankcard
ocr,OCRService_OCRBusinessLicense,post,/v1/ocr/business_license
ocr,OCRService_OCRDrivingLicense,post,/v1/ocr/driving_license
ocr,OCRService_OCRHKMacauExitEntryPermit,post,/v1/ocr/hk_macau_exit_entry_permit
ocr,OCRService_OCRIDCard,post,/v1/ocr/idcard
ocr,OCRService_OCRPassport,post,/v1/ocr/passport
ocr,OCRService_OCRTaiwanExitEntryPermit,post,/v1/ocr/taiwan_exit_entry_permit
ocr,OCRService_OCRVehicleLicense,post,/v1/ocr/vehicle_license

oplog,ConsoleOplogService_GetOplogs,get,/console-internal/v1/oplogs
# 内部调用，前端不调用
#oplog,ConsoleOplogService_CreateOplog,post,/console-internal/v1/oplogs

order,ConsoleOrderService_GetAllOrder,get,/console/v1/all_order
order,ConsoleOrderService_GetOneOrder,get,/console/v1/order
order,ConsoleOrderService_CreateOrder,post,/console/v1/order
order,ConsoleOrderService_GetOrderNum,get,/console/v1/order_num
order,ConsoleOrderService_GetValidOrderNum,get,/console/v1/valid_order_num

bill,ConsoleBillService_GetAllBillGroup,get,/console/v1/all_bill
bill,ConsoleBillService_GetOneBillGroup,get,/console/v1/bill
bill,ConsoleBillService_GetBillNum,get,/console/v1/bill_num
bill,ConsoleBillService_DownloadBillDetail,post,/console/v1/download
bill,ConsoleBillService_UpdateBillStatus,post,/console/v1/update_bill_status

orderInternal,ConsoleOrderInternalService_GetAuditAllOrder,get,/console-internal/v1/all_order
orderInternal,ConsoleOrderInternalService_GetAllCategory,get,/console-internal/v1/category
orderInternal,ConsoleOrderInternalService_GetOrderModifyRecord,get,/console-internal/v1/modify_order
orderInternal,ConsoleOrderInternalService_ModifyOrder,post,/console-internal/v1/modify_order
orderInternal,ConsoleOrderInternalService_GetAuditOneOrder,get,/console-internal/v1/order
orderInternal,ConsoleOrderInternalService_AuditOrder,post,/console-internal/v1/order
orderInternal,ConsoleOrderInternalService_UnsubscribeOrder,post,/console-internal/v1/unsubscribe_order


product,ConsoleProductService_ListProductByCode,get,/console/v1/product
product,ConsoleProductService_ListOrderedProduct,get,/console/v1/product/order
product,ConsoleProductService_ListRealtimeUsageByCode,get,/console/v1/product/realtime_usage
product,ConsoleProductService_ListUsageByCode,get,/console/v1/product/usage

#内部接口
#rasCluster,RasCluster_GetClusters,get,/v1/clusters

#rasManager,RasManager_CallbackAssignmentState,post,/v1/CallbackAssignmentState
#rasManager,RasManager_CallbackDataCollectingTaskStatus,post,/v1/CallbackDataCollectingTaskStatus
rasManager,RasManager_CountDevices,get,/v1/CountDevices
rasManager,RasManager_CreateAssignment,post,/v1/CreateAssignment
rasManager,RasManager_CreateDataCollectingTask,post,/v1/CreateDataCollectingTask
rasManager,RasManager_DeleteAssignment,post,/v1/DeleteAssignment
rasManager,RasManager_DeleteDataCollectingTask,post,/v1/DeleteDataCollectingTask
rasManager,RasManager_DeleteDevice,post,/v1/DeleteDevice
rasManager,RasManager_GetAssignment,get,/v1/GetAssignment
rasManager,RasManager_GetDataCollectingTask,get,/v1/GetDataCollectingTask
rasManager,RasManager_GetDeviceDetail,get,/v1/GetDeviceDetail
rasManager,RasManager_ListAccountDeviceSpus,get,/v1/ListAccountDeviceSpus
rasManager,RasManager_ListAllDeviceDetails,get,/v1/ListAllDeviceDetails
rasManager,RasManager_ListAssignments,get,/v1/ListAssignments
rasManager,RasManager_ListDataCollectingTask,get,/v1/ListDataCollectingTask
rasManager,RasManager_ListDeviceDetails,get,/v1/ListDeviceDetails
rasManager,RasManager_UpdateAssignment,post,/v1/UpdateAssignment
rasManager,RasManager_UpdateDevice,post,/v1/UpdateDevice

# user
user,ConsoleUserService_OCRIDCard,post,/console/v1/accounts/ocr
user,ConsoleUserService_ListPolicyGroup,get,/console/v1/policygroups
user,ConsoleUserService_GetPolicyGroupAssociatedInfoByID,get,/console/v1/policygroups/group_id
#user,ConsoleUserService_GetAllPolicyGroupsByUserID,get,/console/v1/user/policygroups
user,ConsoleUserService_CreateUserWithAccount,post,/console/v1/user_accounts
user,ConsoleUserService_UserLoginForgotPassword,post,/console/v1/user_accounts/login_forgot_poassword
user,ConsoleUserService_VerifyUserRegisterInfo,post,/console/v1/user_accounts/verify_user_register_info
user,ConsoleUserService_GetUserList,get,/console/v1/users
user,ConsoleUserService_CreateUser,post,/console/v1/users
user,ConsoleUserService_UpdateUserAccessMode,post,/console/v1/users/access_mode/user_id
user,ConsoleUserService_GetUserAssociatedInfoByID,get,/console/v1/users/associated_info/user_id
user,ConsoleUserService_GetUserBaseInfo,get,/console/v1/users/base_info
user,ConsoleUserService_UpdateUserBaseInfo,post,/console/v1/users/base_info
user,ConsoleUserService_SendSmsCode,get,/console/v1/users/code
user,ConsoleUserService_VerifySmsCode,get,/console/v1/users/code/verify
user,ConsoleUserService_SendCurrentUserSmsCode,get,/console/v1/users/current_user/code
user,ConsoleUserService_VerifyCurrentUserSmsCode,get,/console/v1/users/current_user/code/verify
user,ConsoleUserService_UsePhoneOrUserIDDeleteUser,post,/console/v1/users/delete_root_user
user,ConsoleUserService_UpdateUserDescInfo,post,/console/v1/users/desc_info/user_id
user,ConsoleUserService_SecuritySetUpdateUserCellphone,post,/console/v1/users/security_set/cellphone
user,ConsoleUserService_SecuritySetUpdateUserEmail,post,/console/v1/users/security_set/email
user,ConsoleUserService_SecuritySetUpdateUserPassword,post,/console/v1/users/security_set/password
user,ConsoleUserService_UpdateSubUserPassword,post,/console/v1/users/sub_user/password
#user,ConsoleUserService_GetUserUnRedactedInfo,get,/console/v1/users/unredacted_info
user,ConsoleUserService_DeleteUser,post,/console/v1/users/user_id
user,ConsoleUserService_CreateUserAKSK,post,/console/v1/users/user_id/accesskeys
user,ConsoleUserService_DeleteAccessKey,post,/console/v1/users/user_id/accesskeys/access_key_id
user,ConsoleUserService_ExportUserAKSKExcel,post,/console/v1/users/user_id/accesskeys/excel_export
user,ConsoleUserService_SetAccessKeyStatus,post,/console/v1/users/user_id/accesskeys/status
user,ConsoleUserService_BatchAddPolicyGroupToUser,post,/console/v1/users/user_id/batch_policygroups
user,ConsoleUserService_RemovePolicyGroupFromUser,post,/console/v1/users/user_id/policygroups/group_id
user,ConsoleUserService_UserNameExistInAccount,post,/console/v1/users/user_name_exist


#内部接口
#viperApplet,BatchProcess,post,/v1/batch_process
#viperApplet,GetSystemInfo,get,/v1/get_system_info

#内部接口
#viperOcr,BatchCustomTemplate,post,/v1/batch_custom_template_extract
#viperOcr,BatchPlainText,post,/v1/batch_plaintext_extract
#viperOcr,BatchSpecialTemplate,post,/v1/batch_special_template_extract
#viperOcr,BatchTemplate,post,/v1/batch_template_extract
#viperOcr,GetSystemInfo,get,/v1/get_system_info

#lottery,BotLotteryService_Health,get,/health
lottery,BotLotteryService_LotteryOcr,post,/v1/lottery/ocr

# video
videoManager,VideoManagerCenter_CreateTask,post,/v1/CreateTask
videoManager,VideoManagerCenter_DeleteTask,post,/v1/DeleteTask
videoManager,VideoManagerCenter_GeneratePlayAddress,post,/v1/GeneratePlayAddress
videoManager,VideoManagerCenter_GetTasks,get,/v1/GetTasks

# spuop
spuop,ConsoleSPUopService_GetAllSPU,get,/console-internal/v1/all_spuop
